type,days_for_shipping_real,days_for_shipment_scheduled,benefit_per_order,sales_per_customer,delivery_status,late_delivery_risk,category_id,category_name,customer_city,customer_country,customer_email,customer_fname,customer_id,customer_lname,customer_password,customer_segment,customer_state,customer_street,customer_zipcode,department_id,department_name,latitude,longitude,market,order_city,order_country,order_customer_id,order_date_dateorders,order_id,order_item_cardprod_id,order_item_discount,order_item_discount_rate,order_item_id,order_item_product_price,order_item_profit_ratio,order_item_quantity,sales,order_item_total,order_profit_per_order,order_region,order_state,order_status,product_card_id,product_category_id,product_image,product_name,product_price,product_status,shipping_date_dateorders,shipping_mode
TRANSFER,6,2,130.58,272.03,Shipping canceled,0,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Germane,19483,Short,XXXXXXXXX,Corporate,PR,4058 Quiet Heights,725.0,2,Fitness,18.282845,-66.037056,Pacific Asia,Tokio,Japón,19483,2018-01-13 09:18:00,75930,1360,55.72,0.17,179245,327.75,0.48,1,327.75,272.03,130.58,Eastern Asia,Tokio,SUSPECTED_FRAUD,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-19 09:18:00,Second Class
TRANSFER,5,2,45.69,268.76,Late delivery,1,73,Sporting Goods,Freeport,EE. UU.,XXXXXXXXX,Freya,19482,Robbins,XXXXXXXXX,Consumer,NY,3243 Shady Corner,11520.0,2,Fitness,40.654865,-73.587074,Pacific Asia,Manado,Indonesia,19482,2018-01-13 08:57:00,75929,1360,59.0,0.18,179244,327.75,0.17,1,327.75,268.76,45.69,Southeast Asia,Célebes Septentrional,PENDING,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-18 08:57:00,Second Class
TRANSFER,4,2,21.76,262.2,Late delivery,1,73,Sporting Goods,Salinas,EE. UU.,XXXXXXXXX,Cassandra,19481,Jensen,XXXXXXXXX,Corporate,CA,131 Sunny Treasure Green,93905.0,2,Fitness,36.67634,-121.65652,Pacific Asia,Manado,Indonesia,19481,2018-01-13 08:36:00,75928,1360,65.55,0.2,179243,327.75,0.08,1,327.75,262.2,21.76,Southeast Asia,Célebes Septentrional,PENDING,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-17 08:36:00,Second Class
DEBIT,2,1,24.58,245.81,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Natalie,19480,Mcfadden,XXXXXXXXX,Corporate,PR,2531 Wishing Square,725.0,2,Fitness,18.278439,-66.037056,Pacific Asia,Sangli,India,19480,2018-01-13 08:15:00,75927,1360,81.94,0.25,179242,327.75,0.1,1,327.75,245.81,24.58,South Asia,Maharashtra,COMPLETE,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-15 08:15:00,First Class
TRANSFER,2,1,16.39,327.75,Late delivery,1,73,Sporting Goods,Peabody,EE. UU.,XXXXXXXXX,Kimberley,19479,Sharpe,XXXXXXXXX,Corporate,MA,6417 Silver Towers,1960.0,2,Fitness,42.526276,-70.92703,Pacific Asia,Sangli,India,19479,2018-01-13 07:54:00,75926,1360,0.0,0.0,179241,327.75,0.05,1,327.75,327.75,16.39,South Asia,Maharashtra,PROCESSING,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-15 07:54:00,First Class
DEBIT,2,1,-259.58,324.47,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Sade,19478,Lancaster,XXXXXXXXX,Corporate,PR,257 Harvest Close,725.0,2,Fitness,18.28405,-66.037056,Pacific Asia,Sangli,India,19478,2018-01-13 07:33:00,75925,1360,3.28,0.01,179240,327.75,-0.8,1,327.75,324.47,-259.58,South Asia,Maharashtra,COMPLETE,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-15 07:33:00,First Class
PAYMENT,5,2,-246.36,321.2,Late delivery,1,73,Sporting Goods,Canovanas,Puerto Rico,XXXXXXXXX,Brynne,19477,Giles,XXXXXXXXX,Corporate,PR,7342 Hazy Beacon Park,729.0,2,Fitness,18.39579,-65.87289,Pacific Asia,Seúl,Corea del Sur,19477,2018-01-13 07:12:00,75924,1360,6.56,0.02,179239,327.75,-0.77,1,327.75,321.2,-246.36,Eastern Asia,Seúl,PENDING_PAYMENT,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-18 07:12:00,Second Class
CASH,2,1,23.84,317.92,Late delivery,1,73,Sporting Goods,Paramount,EE. UU.,XXXXXXXXX,Ciara,19476,Bird,XXXXXXXXX,Corporate,CA,7787 Lazy Corners,90723.0,2,Fitness,33.898693,-118.17456,Pacific Asia,Jabalpur,India,19476,2018-01-13 06:51:00,75923,1360,9.83,0.03,179238,327.75,0.08,1,327.75,317.92,23.84,South Asia,Madhya Pradesh,CLOSED,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-15 06:51:00,First Class
DEBIT,2,1,102.26,314.64,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Bo,19475,Griffin,XXXXXXXXX,Consumer,PR,5136 Rustic Pioneer Estates,725.0,2,Fitness,18.233778,-66.03706,Pacific Asia,Jabalpur,India,19475,2018-01-13 06:30:00,75922,1360,13.11,0.04,179237,327.75,0.33,1,327.75,314.64,102.26,South Asia,Madhya Pradesh,COMPLETE,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-15 06:30:00,First Class
PAYMENT,0,0,87.18,311.36,Shipping on time,0,73,Sporting Goods,Mount Prospect,EE. UU.,XXXXXXXXX,Kim,19474,Simon,XXXXXXXXX,Consumer,IL,1723 Tawny Via,60056.0,2,Fitness,42.048306,-87.96134,Pacific Asia,Jabalpur,India,19474,2018-01-13 06:09:00,75921,1360,16.39,0.05,179236,327.75,0.28,1,327.75,311.36,87.18,South Asia,Madhya Pradesh,PENDING_PAYMENT,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-13 18:09:00,Same Day
TRANSFER,0,0,154.86,309.72,Shipping on time,0,73,Sporting Goods,Long Beach,EE. UU.,XXXXXXXXX,Kellie,19473,Farmer,XXXXXXXXX,Corporate,CA,7111 Silent Fox Gardens,90813.0,2,Fitness,33.78245,-118.192245,Pacific Asia,Jabalpur,India,19473,2018-01-13 05:48:00,75920,1360,18.03,0.06,179235,327.75,0.5,1,327.75,309.72,154.86,South Asia,Madhya Pradesh,PROCESSING,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-13 17:48:00,Same Day
TRANSFER,5,4,82.3,304.81,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Alma,19472,Conley,XXXXXXXXX,Corporate,PR,3732 Old Mountain Bank,725.0,2,Fitness,18.283377,-66.037056,Pacific Asia,Jabalpur,India,19472,2018-01-13 05:27:00,75919,1360,22.94,0.07,179234,327.75,0.27,1,327.75,304.81,82.3,South Asia,Madhya Pradesh,PENDING,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-18 05:27:00,Standard Class
TRANSFER,4,2,22.37,298.25,Late delivery,1,73,Sporting Goods,Rancho Cordova,EE. UU.,XXXXXXXXX,Yeo,19471,Bird,XXXXXXXXX,Corporate,CA,6217 Rustic Lake Forest,95670.0,2,Fitness,38.611774,-121.28287,Pacific Asia,Geelong,Australia,19471,2018-01-13 05:06:00,75918,1360,29.5,0.09,179233,327.75,0.08,1,327.75,298.25,22.37,Oceania,Victoria,PENDING,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-17 05:06:00,Second Class
TRANSFER,3,2,17.7,294.98,Shipping canceled,0,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Lucy,19470,Mcknight,XXXXXXXXX,Corporate,PR,1082 Quiet Treasure Link,725.0,2,Fitness,18.207336,-66.037056,Pacific Asia,Geelong,Australia,19470,2018-01-13 04:45:00,75917,1360,32.78,0.1,179232,327.75,0.06,1,327.75,294.98,17.7,Oceania,Victoria,CANCELED,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-16 04:45:00,Second Class
TRANSFER,2,2,90.28,288.42,Shipping canceled,0,73,Sporting Goods,Billings,EE. UU.,XXXXXXXXX,Simone,19469,Vance,XXXXXXXXX,Corporate,MT,3176 Round Gate,59102.0,2,Fitness,45.78831,-108.55941,Pacific Asia,Brisbane,Australia,19469,2018-01-13 04:24:00,75916,1360,39.33,0.12,179231,327.75,0.31,1,327.75,288.42,90.28,Oceania,Queensland,SUSPECTED_FRAUD,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-15 04:24:00,Second Class
DEBIT,6,2,131.17,285.14,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Roary,19468,Wheeler,XXXXXXXXX,Corporate,PR,1426 Fallen Line,725.0,2,Fitness,18.261633,-66.037056,Pacific Asia,Mandurah,Australia,19468,2018-01-13 04:03:00,75915,1360,42.61,0.13,179230,327.75,0.46,1,327.75,285.14,131.17,Oceania,Australia Occidental,COMPLETE,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-19 04:03:00,Second Class
TRANSFER,5,2,90.54,278.59,Late delivery,1,73,Sporting Goods,Wilkes Barre,EE. UU.,XXXXXXXXX,Quail,19467,Ashley,XXXXXXXXX,Consumer,PA,9814 Emerald Prairie Limits,18702.0,2,Fitness,41.235455,-75.86986,Pacific Asia,Mandurah,Australia,19467,2018-01-13 03:42:00,75914,1360,49.16,0.15,179229,327.75,0.33,1,327.75,278.59,90.54,Oceania,Australia Occidental,PENDING,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-18 03:42:00,Second Class
PAYMENT,4,4,82.59,275.31,Shipping on time,0,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Hannah,19466,Velez,XXXXXXXXX,Corporate,PR,8271 Tawny Elk Abbey,725.0,2,Fitness,18.270224,-66.03706,Pacific Asia,Guilin,China,19466,2018-01-13 03:21:00,75913,1360,52.44,0.16,179228,327.75,0.3,1,327.75,275.31,82.59,Eastern Asia,Guangxi,PENDING_PAYMENT,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-17 03:21:00,Standard Class
DEBIT,3,4,-17.14,272.03,Advance shipping,0,73,Sporting Goods,Roseville,EE. UU.,XXXXXXXXX,Evelyn,19465,Kelly,XXXXXXXXX,Corporate,MI,3931 Gentle Ramp,48066.0,2,Fitness,41.868862,-84.573654,Pacific Asia,Guilin,China,19465,2018-01-13 03:00:00,75912,1360,55.72,0.17,179227,327.75,-0.06,1,327.75,272.03,-17.14,Eastern Asia,Guangxi,COMPLETE,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-16 03:00:00,Standard Class
TRANSFER,2,4,23.65,268.76,Advance shipping,0,73,Sporting Goods,Bellflower,EE. UU.,XXXXXXXXX,Jael,19464,Mcfarland,XXXXXXXXX,Consumer,CA,9699 Honey Rise,90706.0,2,Fitness,33.909424,-118.12536,Pacific Asia,Guilin,China,19464,2018-01-13 02:39:00,75911,1360,59.0,0.18,179226,327.75,0.09,1,327.75,268.76,23.65,Eastern Asia,Guangxi,PROCESSING,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-15 02:39:00,Standard Class
DEBIT,6,4,73.42,262.2,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Teagan,19463,Romero,XXXXXXXXX,Consumer,PR,1564 Rocky Terrace,725.0,2,Fitness,18.27526,-66.03706,Pacific Asia,Guilin,China,19463,2018-01-13 02:18:00,75910,1360,65.55,0.2,179225,327.75,0.28,1,327.75,262.2,73.42,Eastern Asia,Guangxi,ON_HOLD,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-19 02:18:00,Standard Class
DEBIT,5,4,113.07,245.81,Late delivery,1,73,Sporting Goods,Wheaton,EE. UU.,XXXXXXXXX,Joan,19462,Wilder,XXXXXXXXX,Consumer,IL,4294 High Passage,60187.0,2,Fitness,41.86544,-88.1099,Pacific Asia,Delhi,India,19462,2018-01-13 01:57:00,75909,1360,81.94,0.25,179224,327.75,0.46,1,327.75,245.81,113.07,South Asia,Delhi,COMPLETE,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-18 01:57:00,Standard Class
PAYMENT,4,4,24.58,327.75,Shipping on time,0,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Basia,19461,Watts,XXXXXXXXX,Consumer,PR,5918 Golden Beacon Freeway,725.0,2,Fitness,18.287136,-66.037056,Pacific Asia,Delhi,India,19461,2018-01-13 01:36:00,75908,1360,0.0,0.0,179223,327.75,0.08,1,327.75,327.75,24.58,South Asia,Delhi,PENDING_PAYMENT,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-17 01:36:00,Standard Class
DEBIT,2,1,-97.34,324.47,Late delivery,1,73,Sporting Goods,Detroit,EE. UU.,XXXXXXXXX,Dominique,19460,Rogers,XXXXXXXXX,Consumer,MI,3915 Broad Lookout,48238.0,2,Fitness,42.3911,-83.13122,Pacific Asia,Suzhou,China,19460,2018-01-13 01:15:00,75907,1360,3.28,0.01,179222,327.75,-0.3,1,327.75,324.47,-97.34,Eastern Asia,Gansu,COMPLETE,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-15 01:15:00,First Class
PAYMENT,2,1,-425.58,321.2,Late delivery,1,73,Sporting Goods,Dallas,EE. UU.,XXXXXXXXX,Ainsley,19459,Mathis,XXXXXXXXX,Consumer,TX,7190 Silver Horse Glade,75220.0,2,Fitness,32.865395,-96.86858,Pacific Asia,Suzhou,China,19459,2018-01-13 00:54:00,75906,1360,6.56,0.02,179221,327.75,-1.33,1,327.75,321.2,-425.58,Eastern Asia,Gansu,PENDING_PAYMENT,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-15 00:54:00,First Class
PAYMENT,2,1,152.6,317.92,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Aurora,19458,Sharp,XXXXXXXXX,Corporate,PR,830 Broad Beacon Maze,725.0,2,Fitness,18.240742,-66.037056,Pacific Asia,Singapur,Singapur,19458,2018-01-13 00:33:00,75905,1360,9.83,0.03,179220,327.75,0.48,1,327.75,317.92,152.6,Southeast Asia,Singapur,PENDING_PAYMENT,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-15 00:33:00,First Class
CASH,2,1,151.03,314.64,Late delivery,1,73,Sporting Goods,Carlisle,EE. UU.,XXXXXXXXX,Libby,19457,Bray,XXXXXXXXX,Corporate,PA,6127 Dewy Goose Downs,17013.0,2,Fitness,40.03172,-76.8771,Pacific Asia,Hubli,India,19457,2018-01-13 00:12:00,75904,1360,13.11,0.04,179219,327.75,0.48,1,327.75,314.64,151.03,South Asia,Karnataka,CLOSED,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-15 00:12:00,First Class
DEBIT,2,1,62.27,311.36,Late delivery,1,73,Sporting Goods,Dallas,EE. UU.,XXXXXXXXX,Amy,19456,Lindsay,XXXXXXXXX,Corporate,TX,1188 Old Abbey,75228.0,2,Fitness,32.81011,-96.68649,Pacific Asia,Wollongong,Australia,19456,2018-01-12 23:51:00,75903,1360,16.39,0.05,179218,327.75,0.2,1,327.75,311.36,62.27,Oceania,Nueva Gales del Sur,COMPLETE,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-14 23:51:00,First Class
DEBIT,1,0,35.0,309.72,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Ivory,19455,Parks,XXXXXXXXX,Consumer,PR,7004 Hazy Lake Townline,725.0,2,Fitness,18.286049,-66.037056,Pacific Asia,Wollongong,Australia,19455,2018-01-12 23:30:00,75902,1360,18.03,0.06,179217,327.75,0.11,1,327.75,309.72,35.0,Oceania,Nueva Gales del Sur,COMPLETE,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-13 11:30:00,Same Day
TRANSFER,1,0,57.3,304.81,Shipping canceled,0,73,Sporting Goods,Newark,EE. UU.,XXXXXXXXX,Karina,19454,Prince,XXXXXXXXX,Consumer,DE,2556 Umber Autoroute,19702.0,2,Fitness,39.68188,-75.64421,Pacific Asia,Wollongong,Australia,19454,2018-01-12 23:09:00,75901,1360,22.94,0.07,179216,327.75,0.19,1,327.75,304.81,57.3,Oceania,Nueva Gales del Sur,CANCELED,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-13 11:09:00,Same Day
PAYMENT,1,0,143.16,298.25,Late delivery,1,73,Sporting Goods,Panorama City,EE. UU.,XXXXXXXXX,Deanna,19453,Goff,XXXXXXXXX,Consumer,CA,3722 Thunder Cape,91402.0,2,Fitness,34.15894,-118.18094,Pacific Asia,Singapur,Singapur,19453,2018-01-12 22:48:00,75900,1360,29.5,0.09,179215,327.75,0.48,1,327.75,298.25,143.16,Southeast Asia,Singapur,PENDING_PAYMENT,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-13 10:48:00,Same Day
DEBIT,1,0,135.69,294.98,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Dacey,19452,Walters,XXXXXXXXX,Home Office,PR,2676 Velvet Common,725.0,2,Fitness,18.282946,-66.03706,Pacific Asia,Singapur,Singapur,19452,2018-01-12 22:27:00,75899,1360,32.78,0.1,179214,327.75,0.46,1,327.75,294.98,135.69,Southeast Asia,Singapur,COMPLETE,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-13 10:27:00,Same Day
CASH,4,4,132.67,288.42,Shipping on time,0,73,Sporting Goods,Atlanta,EE. UU.,XXXXXXXXX,Adele,19451,Pennington,XXXXXXXXX,Home Office,GA,833 Amber Anchor Glen,30318.0,2,Fitness,33.816326,-84.4455,Pacific Asia,Medan,Indonesia,19451,2018-01-12 22:05:00,75898,1360,39.33,0.12,179213,327.75,0.46,1,327.75,288.42,132.67,Southeast Asia,Sumatra Septentrional,CLOSED,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-16 22:05:00,Standard Class
PAYMENT,3,4,119.76,285.14,Advance shipping,0,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Sybill,19450,Spencer,XXXXXXXXX,Home Office,PR,830 Quaking Bear Grounds,725.0,2,Fitness,18.24104,-66.03706,Pacific Asia,Medan,Indonesia,19450,2018-01-12 21:44:00,75897,1360,42.61,0.13,179212,327.75,0.42,1,327.75,285.14,119.76,Southeast Asia,Sumatra Septentrional,PENDING_PAYMENT,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-15 21:44:00,Standard Class
DEBIT,2,4,31.48,278.59,Advance shipping,0,73,Sporting Goods,Fremont,EE. UU.,XXXXXXXXX,Kay,19449,Sandoval,XXXXXXXXX,Consumer,CA,1509 Middle Oak Isle,94539.0,2,Fitness,37.490276,-121.92711,Pacific Asia,Canberra,Australia,19449,2018-01-12 21:23:00,75896,1360,49.16,0.15,179211,327.75,0.11,1,327.75,278.59,31.48,Oceania,Territorio de la Capital Australiana,COMPLETE,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-14 21:23:00,Standard Class
TRANSFER,6,4,86.17,275.31,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Stacy,19448,Mckinney,XXXXXXXXX,Corporate,PR,9712 Fallen Robin Diversion,725.0,2,Fitness,18.264696,-66.037056,Pacific Asia,Bangalore,India,19448,2018-01-12 21:02:00,75895,1360,52.44,0.16,179210,327.75,0.31,1,327.75,275.31,86.17,South Asia,Karnataka,PENDING,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-18 21:02:00,Standard Class
TRANSFER,5,2,130.58,272.03,Late delivery,1,73,Sporting Goods,Rochester,EE. UU.,XXXXXXXXX,Marah,19447,Lara,XXXXXXXXX,Corporate,NY,8665 Sunny Deer Woods,14609.0,2,Fitness,43.18824,-77.56706,Pacific Asia,Bangalore,India,19447,2018-01-12 20:41:00,75894,1360,55.72,0.17,179209,327.75,0.48,1,327.75,272.03,130.58,South Asia,Karnataka,PENDING,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-17 20:41:00,Second Class
TRANSFER,4,4,0.0,268.76,Shipping on time,0,73,Sporting Goods,Dallas,EE. UU.,XXXXXXXXX,Taylor,19446,Wood,XXXXXXXXX,Corporate,TX,9879 Harvest Deer Farms,75211.0,2,Fitness,32.753685,-96.86554,Pacific Asia,Yiwu,China,19446,2018-01-12 20:20:00,75893,1360,59.0,0.18,179208,327.75,0.0,1,327.75,268.76,0.0,Eastern Asia,Zhejiang,PROCESSING,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-16 20:20:00,Standard Class
